Round,Module,Stacked Status,Variable Pair,Long Form Variable Name,Variable Label,Link Grad
RS,Status and Descriptive,grad only,statmdsq,statmdsq,RS Status code for return of Medicare Part D SAQ,NA
RS,Status and Descriptive,grad only,ia008re,ia008re,RS Number of mail questionnaires sent to graduate respondent in 2004.,NA
RS,Status and Descriptive,grad only,rinlife,rinlife,RS Was Grad selected for 1997 life history survey? (Added 2004),NA
RS,Status and Descriptive,grad only,rlifesit,rlifesit,"RS ""Life-situation"" of Grad as determined by 1992 data. (Added 2004)",NA
RS,Status and Descriptive,grad only,rliferpt,rliferpt,RS Level of Grad's participation in 1997 life history survey. (Added 2004),NA
RS,Status and Descriptive,grad only,rlifewv,rlifewv,RS Which wave of 1997 life history? (Added 2004),NA
RS,Status and Descriptive,sib only,xstat77,xstat77,RS 1977 Sib-Respondent's Status Code (coversheet),NA
RS,Status and Descriptive,sib only,xstat93p,xstat93p,RS Outcome of 1993-1994 sibling telephone interview. (Added 11/95),NA
RS,Status and Descriptive,sib only,xstat93m,xstat93m,RS Outcome of 1993-1994 sibling mail interview.,NA
RS,Status and Descriptive,sib only,xstat05p,xstat05p,RS Outcome of 2005 sibling telephone interview (Added 1/07),NA
RS,Status and Descriptive,sib only,xstat05s,xstat05s,RS Outcome of 2005-07 sibling spouse telephone interview.,NA
RS,Status and Descriptive,sib only,xstatw05,xstatw05,RS Obtain permission for Medicare record in 2005 sibling telephone interview,NA
RS,Status and Descriptive,sib only,xsmtwin,xsmtwin,RS Sample Code for Twins for 1977 Sibling Sample,NA
RA,Relative Body Mass Index (1957 Yearbook),grad only,roundflg,roundflg,RA Round of coding.,module=rbmi
RA,Relative Body Mass Index (1957 Yearbook),grad only,srbmi,srbmi,RA Standardized relative body mass index.,module=rbmi
RA,Relative Body Mass Index (1957 Yearbook),grad only,urbmi,urbmi,"RA Unstandardized RBM index, mean of RBM scores for individual coders.",module=rbmi
RA,Relative Body Mass Index (1957 Yearbook),grad only,rbmc1,rbmc1,RA Relative Body Mass Scores for Coder 1.,module=rbmi
RA,Relative Body Mass Index (1957 Yearbook),grad only,rbmc2,rbmc2,RA Relative Body Mass Scores for Coder 2.,module=rbmi
RA,Relative Body Mass Index (1957 Yearbook),grad only,rbmc3,rbmc3,RA Relative Body Mass Scores for Coder 3.,module=rbmi
RA,Relative Body Mass Index (1957 Yearbook),grad only,rbmc4,rbmc4,RA Relative Body Mass Scores for Coder 4.,module=rbmi
RA,Relative Body Mass Index (1957 Yearbook),grad only,rbmc5,rbmc5,RA Relative Body Mass Scores for Coder 5.,module=rbmi
RA,Relative Body Mass Index (1957 Yearbook),grad only,rbmc6,rbmc6,RA Relative Body Mass Scores for Coder 6.,module=rbmi
R4,Summary,paired,ra016rem/sa012rem,z_ra016rem,R4 Month phone interview completed.,module=beg
R4,Summary,paired,ra016red/sa012red,z_ra016red,R4 Day phone interview completed.,module=beg
R4,Summary,paired,ra016rey/sa012rey,z_ra016rey,R4 Year phone interview completed.,module=beg
R4,Summary,paired,ra017rem/sa013rem,z_ra017rem,R4 Month completed mail questionnaire received at survey center.,module=beg
R4,Summary,paired,ra017red/sa013red,z_ra017red,R4 Day completed mail questionnaire received at survey center.,module=beg
R4,Summary,paired,ra017rey/sa013rey,z_ra017rey,R4 Year completed mail questionnaire received at survey center.,module=beg
R4,Summary,paired,ra019re/sa014re,z_ra019re,R4 ID number of the person who interviewed the respondent.,module=beg
R4,Summary,paired,ra020re/sa015re,z_ra020re,R4 State of respondent's address at time of interview.,module=beg
R4,Summary,paired,ra027re/sa027re,z_ra027re,R4 Is this respondent a parent of a child with a disablity as determined by Selzer and Greenberg?,module=beg
R4,Summary,paired,ra029re/sa029re,z_ra029re,R4 Age of respondent at time of phone interviewer.,module=beg
R4,Summary,paired,gdtxing/gdtxins,z_gdtxing,R4 Centroid type code for participant's address.,module=beg
R4,Summary,paired,gdtstatg/gdtstats,z_gdtstatg,R4 Match status code for participant's address; indicates type of match or failure.,module=beg
R4,Summary,paired,diffzipg/diffzips,z_diffzipg,R4 Did zip code change since most recent check of participant's address?,module=beg
R4,Summary,paired,st92g/st94s,z_st92g,R4 Participant's state of residence.,module=beg
R4,Summary,grad only,ra006re,ra006re,R4 Did respondent complete part or all of the telephone interview?,module=beg
R4,Summary,grad only,ra018re,ra018re,R4 Number of mail questionnaires sent to respondent.,module=beg
R4,Summary,grad only,ra028re,ra028re,R4 Gender of the interviewer for the CATI instrument.,module=beg
R4,Summary,grad only,rrmr92f,rrmr92f,"R4 Does this graduate have any relationship with another graduate? If so, what kind?",module=beg
R4,Summary,grad only,mr92idus,mr92idus,R4 IDPRIV of the graduate this graduate has a relationship with.,module=beg
R4,Summary,grad only,rs92f,rs92f,"R4 Does the graduate have any relationship with a sibling respondent? If so, what kind?",module=beg
R4,Summary,grad only,rsidus1,rsidus1,R4 IDPRIV of the second person referenced in RS92F.,module=beg
R4,Summary,grad only,rsidus2,rsidus2,R4 IDPRIV of the second person referenced in RS92F.,module=beg
R4,Summary,sib only,sa006re,sa006re,R4 Did respondent complete part or all of the phone interview?,NA
R4,Summary,sib only,sa026re,sa026re,R4 IDPRIV of this sibling respondent as a graduate.,NA
R4,Summary,sib only,xsmr93f,xsmr93f,"R4 Does this sibling respondent have any relationship with another sibling respondent?  If so, what kind? This includes all siblings, not just 1977 selected sibling.",NA
R4,Summary,sib only,xr93idus,xr93idus,R4 IDPRIV of the sibling respondent this sibling respondent has a relationship with.,NA
R4,Depression and Alcohol Summary,paired,ru001re/su001re,z_ru001re,R4 Respondent is in 80% random sample for depression and alcohol sections.,module=hper
R4,Depression and Alcohol Summary,paired,ru002re/su002re,z_ru002re,"R4 Have you ever had a time in life lasting two weeks or more when nearly every day you felt sad, blue, depressed, or when you lost interest in most things like work, hobbies, or things you usually liked to do for fun?",module=hper
R4,Depression and Alcohol Summary,paired,ru003re/su003re,z_ru003re,"R4 Were your experience with depression always caused by alcohol, drugs, medications, or physical illness?",module=hper
R4,Depression and Alcohol Summary,paired,ru004re/su004re,z_ru004re,"R4 What age were you when you experienced the worst, particularly bad, or the most recent period of depression?",module=hper
R4,Depression and Alcohol Summary,paired,ru005re/su005re,z_ru005re,"R4 Was this depression the worst, particularly bad, or the most recent episode?",module=hper
R4,Depression and Alcohol Summary,paired,ru006re/su006re,z_ru006re,"R4 During this episode of depression, did the you lose weight without trying to, as much as 2 pounds a week for several weeks or as much as 10 pounds altogether?",module=hper
R4,Depression and Alcohol Summary,paired,ru007re/su007re,z_ru007re,R4 Did you have two weeks or more when nearly every night you had trouble falling asleep?,module=hper
R4,Depression and Alcohol Summary,paired,ru008re/su008re,z_ru008re,"R4 Did you have two weeks or more when you lacked energy or felt tired all the time, even when you had not been working very hard?",module=hper
R4,Depression and Alcohol Summary,paired,ru009re/su009re,z_ru009re,"R4 Did you have two weeks or more when you felt very bad when waking up, but felt better later in the day?",module=hper
R4,Depression and Alcohol Summary,paired,ru010re/su010re,z_ru010re,"R4 Did you have two weeks or more when you lost interest in most things like work, hobbies, or things you usually liked to do for fun?",module=hper
R4,Depression and Alcohol Summary,paired,ru011re/su011re,z_ru011re,R4 Did you have two weeks or more when nearly every day you had a lot more trouble concentrating than is normal?,module=hper
R4,Depression and Alcohol Summary,paired,ru012re/su012re,z_ru012re,"R4 Did you have two weeks or more when you thought a lot about death, either your own, someone else's, or death in general?",module=hper
R4,Depression and Alcohol Summary,paired,ru013re/su013re,z_ru013re,"R4 How many periods have you had in your lifetime that lasted two weeks or more when you felt sad, blue or depressed?",module=hper
R4,Depression and Alcohol Summary,paired,ru014re/su014re,z_ru014re,"R4 If you have had only one period of depression, how long did you feel sad, blue, or depressed?",module=hper
R4,Depression and Alcohol Summary,paired,ru015re/su015re,z_ru015re,"R4 If you have had only one period of depression, what is the unit for length of period when you felt sad, blue, or depressed?",module=hper
R4,Depression and Alcohol Summary,paired,ru016re/su016re,z_ru016re,"R4 If you have had more than one period of depression, what is the average length of periods when you felt sad, blue, or depressed?",module=hper
R4,Depression and Alcohol Summary,paired,ru017re/su017re,z_ru017re,"R4 What is the unit for length of period when you felt sad, blue, or depressed?",module=hper
R4,Depression and Alcohol Summary,paired,ru018re/su018re,z_ru018re,R4 What is the usual length of time between the end of one period of depression to the beginning of the next?,module=hper
R4,Depression and Alcohol Summary,paired,ru019re/su019re,z_ru019re,R4 What is the unit for usual length of time between the end of one period of depression to the beginning of the next?,module=hper
R4,Depression and Alcohol Summary,paired,ru020re/su020re,z_ru020re,"R4 What age were you the first time the you had a period of two weeks or more when you felt sad, blue or depressed?",module=hper
R4,Depression and Alcohol Summary,paired,ru021re/su021re,z_ru021re,"R4 What age were you the last time you had a period of two weeks or more when you felt sad, blue or depressed?",module=hper
R4,Depression and Alcohol Summary,paired,ru022re/su022re,z_ru022re,"R4 Between any periods of two weeks or more of feeling sad, blue or depressed, were you feeling O. K. at least for some months?",module=hper
R4,Depression and Alcohol Summary,paired,ru023re/su023re,z_ru023re,"R4 Between any periods of two weeks or more of feeling sad, blue or depressed were you fully able to work and enjoy being with other people?",module=hper
R4,Depression and Alcohol Summary,paired,ru024rec/su024rec,z_ru024rec,R4 Number of depression symptoms.,module=hper
R4,Depression and Alcohol Summary,paired,rua24re/sua24re,z_rua24re,R4 Number of valid responses for depression symptoms.,module=hper
R4,Depression and Alcohol Summary,paired,ru025re/su025re,z_ru025re,"R4 Have you ever drunk alcoholic beverages such as beer, wine, liquor, or mixed alcoholic drinks?",module=hper
R4,Depression and Alcohol Summary,paired,ru026re/su026re,z_ru026re,"R4 During the last month on how many days did you drink any alcoholic beverages such as beer, wine, liquor, or mixed alcoholic drinks?",module=hper
R4,Depression and Alcohol Summary,paired,ru027re/su027re,z_ru027re,"R4 What is the average number of drinks you had on the days you consumed any alcoholic beverages such as beer, wine, liquor, or mixed alcoholic drinks in the past month?",module=hper
R4,Depression and Alcohol Summary,paired,ru028re/su028re,z_ru028re,R4 Number of alcoholic drinks respondent had in the last month.,module=hper
R4,Depression and Alcohol Summary,paired,ru029re/su029re,z_ru029re,R4 Number of times you had five or more drinks on the same occasion during the last month.,module=hper
R4,Depression and Alcohol Summary,paired,ru030re/su030re,z_ru030re,R4 Have you ever felt bad or guilty about drinking?,module=hper
R4,Depression and Alcohol Summary,paired,ru031re/su031re,z_ru031re,R4 Have people ever annoyed you by criticizing your drinking?,module=hper
R4,Depression and Alcohol Summary,paired,ru032re/su032re,z_ru032re,R4 Has your drinking ever caused a problem at work?,module=hper
R4,Depression and Alcohol Summary,paired,ru033re/su033re,z_ru033re,"R4 Has your drinking ever created problems between yourself and spouse, children, parents, or other near relatives?",module=hper
R4,Depression and Alcohol Summary,paired,ru034rec/su034rec,z_ru034rec,R4 Number of alcohol symptoms.,module=hper
R4,Depression and Alcohol Summary,paired,rua34re/sua34re,z_rua34re,R4 Number of valid responses for alchol symptoms.,module=hper
R4,Depression and Alcohol Summary,paired,ru035re/su035re,z_ru035re,R4 Have you ever gone to anyone for help about drinking?,module=hper
R4,Depression and Alcohol Summary,paired,ru036re/su036re,z_ru036re,"R4 If you have ever gone to anyone for help about drinking, was that about your drinking or someone else's drinking?",module=hper
R4,Depression and Alcohol Summary,paired,ru037re/su037re,z_ru037re,"R4 When you were growing up, did you ever live with anyone who was a problem drinker or alcoholic?",module=hper
R4,Depression and Alcohol Summary,paired,ru038re/su038re,z_ru038re,"R4 Did you ever live with anyone who was a problem drinker or alcoholic, other than when you were growing up?",module=hper
R4,Psychological Well-Being,paired,rn001re/sn001re,z_rn001re,R4 Respondent is in 80% Random sample for Psychological Well-Being.,module=psyb
R4,Psychological Well-Being,paired,rn002red/sn002red,z_rn002red,R4 Summary score for Autonomy.,module=psyb
R4,Psychological Well-Being,paired,rn003red/sn003red,z_rn003red,R4 Number of Autonomy items answered.,module=psyb
R4,Psychological Well-Being,paired,rn004red/sn004red,z_rn004red,R4 Summary score for Environmental Mastery.,module=psyb
R4,Psychological Well-Being,paired,rn005red/sn005red,z_rn005red,R4 Number of Environmental Mastery items answered.,module=psyb
R4,Psychological Well-Being,paired,rn006red/sn006red,z_rn006red,R4 Summary score for Personal Growth.,module=psyb
R4,Psychological Well-Being,paired,rn007red/sn007red,z_rn007red,R4 Number of Personal Growth items answered.,module=psyb
R4,Psychological Well-Being,paired,rn008red/sn008red,z_rn008red,R4 Summary score for Positive Relationships.,module=psyb
R4,Psychological Well-Being,paired,rn009red/sn009red,z_rn009red,R4 Number of Positive Relationships items answered.,module=psyb
R4,Psychological Well-Being,paired,rn010red/sn010red,z_rn010red,R4 Summary score for Purpose in Life.,module=psyb
R4,Psychological Well-Being,paired,rn011red/sn011red,z_rn011red,R4 Number of Purpose in Life items answered.,module=psyb
R4,Psychological Well-Being,paired,rn012red/sn012red,z_rn012red,R4 Summary score for Self-Acceptance.,module=psyb
R4,Psychological Well-Being,paired,rn013red/sn013red,z_rn013red,R4 Number of Self-Acceptance items answered.,module=psyb
R4,Psychological Well-Being,paired,rn014red/sn014red,z_rn014red,R4 Summary score for Psychological Well-Being.,module=psyb
R4,Psychological Well-Being,paired,rn014rei/sn014rei,z_rn014rei,"R4 Summary score for Psychological Well-Being,mean imputed for missing components.",module=psyb
R4,Psychological Well-Being,paired,rn015red/sn015red,z_rn015red,R4 Number of Psychological Well-Being items answered.,module=psyb
R4,Psychological Well-Being,paired,rn016rec/sn016rec,z_rn016rec,R4 To what extent do you agree that you tend to be influenced by people with strong opinions?,module=psyb
R4,Psychological Well-Being,paired,rn017rec/sn017rec,z_rn017rec,"R4 To what extent do you agree that, in general, you feel you are in charge of the situation in which you live?",module=psyb
R4,Psychological Well-Being,paired,rn018rec/sn018rec,z_rn018rec,R4 To what extent do you agree that maintaining close relationships has been difficult and frustrating for you?,module=psyb
R4,Psychological Well-Being,paired,rn019rec/sn019rec,z_rn019rec,R4 To what extent do you agree that some people wander aimlessly through life but you are not one of them?,module=psyb
R4,Psychological Well-Being,paired,rn020rec/sn020rec,z_rn020rec,"R4 To what extent do you agree that when you look at the story of your life, you are pleased with how things have turned out?",module=psyb
R4,Psychological Well-Being,paired,rn021rec/sn021rec,z_rn021rec,R4 To what extent do you agree that the demands of everyday life often get you down?,module=psyb
R4,Psychological Well-Being,paired,rn022rec/sn022rec,z_rn022rec,"R4 To what extent do you agree that for you, life has been a continuous process of learning, changing, and growing?",module=psyb
R4,Psychological Well-Being,paired,rn023rec/sn023rec,z_rn023rec,R4 To what extent do you agree that you have not experienced many warm and trusting relationships with others?,module=psyb
R4,Psychological Well-Being,paired,rn024rec/sn024rec,z_rn024rec,R4 To what extent do you agree that you live life one day at a time and don't really think about the future?,module=psyb
R4,Psychological Well-Being,paired,rn025rec/sn025rec,z_rn025rec,"R4 To what extent do you agree that you judge yourself by what you think is important, not by what others think is important?",module=psyb
R4,Psychological Well-Being,paired,rn026rec/sn026rec,z_rn026rec,R4 To what extent do you agree that you gave up trying to make big improvements or changes in your life a long time ago?,module=psyb
R4,Psychological Well-Being,paired,rn027rec/sn027rec,z_rn027rec,R4 To what extent do you agree that you like most aspects of your personality?,module=psyb
R4,Health,paired,mx001rer/nx001rer,z_mx001rer,R4 How would you rate your health at the present time?,module=mhlth
R4,Health,paired,mx002rer/nx002rer,z_mx002rer,R4 How would you rate your health compared with other people your age and sex?,module=mhlth
R4,Health,paired,mx003rer/nx003rer,z_mx003rer,"R4 Compared with 10 years ago, how would you rate your health now?",module=mhlth
R4,Health,paired,mx004rer/nx004rer,z_mx004rer,"R4 Compared with 10 years ago, how would you rate your appearance now?",module=mhlth
R4,Health,paired,mx005rer/nx017rer,z_mx005rer,"R4 How often do you participate in light physical activity such as walking, dancing, gardening, golfing, bowling, etc.?",module=mhlth
R4,Health,paired,mx006rer/nx018rer,z_mx006rer,"R4 How often do you participate in vigorous physical exercise or sports such as aerobics, running, swimming, bicycling, etc.?",module=mhlth
R4,Health,paired,mx007rer/nx019rer,z_mx007rer,"R4 During the last year, how many days, if any, did you stay in bed for more than half of the day because of illness or injury?",module=mhlth
R4,Health,paired,mx008rer/nx020rer,z_mx008rer,"R4 During the last year, how many times, if any, have you been hospitalized for at least one night?",module=mhlth
R4,Health,paired,mx009rer/nx023rer,z_mx009rer,R4 How much do you weigh?,module=mhlth
R4,Health,paired,mx010rec/nx024rec,z_mx010rec,R4 How tall are you? Response in nearest quarter of an inch with two implied decimal points.,module=mhlth
R4,Health,paired,mx011rec/nx025rec,z_mx011rec,R4 Body mass index based on respondent's weight and height.,module=mhlth
R4,Health,paired,mx012rer/nx038rer,z_mx012rer,R4 Have you ever smoked cigarettes regularly?,module=mhlth
R4,Health,paired,mx013rer/nx039rec,z_mx013rer,R4 Do you smoke regularly now?,module=mhlth
R4,Health,paired,mx018rer/nx046rer,z_mx018rer,R4 How much discomfort has lack of energy caused you in the past six months?,module=mhlth
R4,Health,paired,mx021rer/nx048rer,z_mx021rer,R4 How much discomfort has trouble sleeping caused you in the past six months?,module=mhlth
R4,Health,paired,mx024rer/nx050rer,z_mx024rer,R4 How much discomfort has fatigue or exhaustion caused you in the past six months?,module=mhlth
R4,Health,paired,mx027rer/nx052rer,z_mx027rer,R4 How much discomfort have headaches caused you in the past six months?,module=mhlth
R4,Health,paired,mx030rer/nx054rer,z_mx030rer,R4 How much discomfort have visual problems caused you in the past six months?,module=mhlth
R4,Health,paired,mx033rer/nx056rer,z_mx033rer,R4 How much discomfort has dizziness or faintness caused you in the past six months?,module=mhlth
R4,Health,paired,mx036rer/nx058rer,z_mx036rer,R4 How much discomfort has numbness caused you in the past six months?,module=mhlth
R4,Health,paired,mx039rer/nx060rer,z_mx039rer,R4 How much discomfort has ringing in ears caused you in the past six months?,module=mhlth
R4,Health,paired,mx042rer/nx062rer,z_mx042rer,R4 How much discomfort has nausea caused you in the past six months?,module=mhlth
R4,Health,paired,mx045rer/nx064rer,z_mx045rer,R4 How much discomfort has vomiting caused you in the past six months?,module=mhlth
R4,Health,paired,mx048rer/nx066rer,z_mx048rer,R4 How much discomfort has upset stomach caused you in the past six months?,module=mhlth
R4,Health,paired,mx051rer/nx068rer,z_mx051rer,R4 How much discomfort has constipation caused you in the past six months?,module=mhlth
R4,Health,paired,mx054rer/nx070rer,z_mx054rer,R4 How much discomfort has diarrhea caused you in the past six months?,module=mhlth
R4,Health,paired,mx057rer/nx072rer,z_mx057rer,R4 How much discomfort have urination problems caused you in the past six months?,module=mhlth
R4,Health,paired,mx060rer/nx074rer,z_mx060rer,R4 How much discomfort have aching muscles caused you in the past six months?,module=mhlth
R4,Health,paired,mx063rer/nx076rer,z_mx063rer,R4 How much discomfort have stiff or swollen joints caused you in the past six months?,module=mhlth
R4,Health,paired,mx066rer/nx078rer,z_mx066rer,R4 How much discomfort has back pain or strain caused you in the past six months?,module=mhlth
R4,Health,paired,mx069rer/nx080rer,z_mx069rer,R4 How much discomfort has chest pain caused you in the past six months?,module=mhlth
R4,Health,paired,mx072rer/nx082rer,z_mx072rer,R4 How much discomfort has shortness of breath caused you in the past six months?,module=mhlth
R4,Health,paired,mx075rer/nx084rer,z_mx075rer,R4 How much discomfort has excessive sweating caused you in the past six months?,module=mhlth
R4,Health,paired,mx078rer/nx086rer,z_mx078rer,R4 How much discomfort have respiratory problems caused you in the past six months?,module=mhlth
R4,Health,paired,mx081rer/nx088rer,z_mx081rer,R4 How much discomfort have skin problems caused you in the past six months?,module=mhlth
R4,Health,paired,mx082rec/nx102rer,z_mx082rec,R4 Number of symptoms.,module=mhlth
R4,Health,paired,mx083rer/nx103rer,z_mx083rer,R4 Has a medical professional ever said you have anemia?,module=mhlth
R4,Health,paired,mx084rer/nx104rer,z_mx084rer,R4 How much does your anemia currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx085rer/nx105rer,z_mx085rer,R4 Has a medical professional ever said you have asthma?,module=mhlth
R4,Health,paired,mx086rer/nx106rer,z_mx086rer,R4 How much does your asthma currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx087rer/nx107rer,z_mx087rer,R4 Has a medical professional ever said you have arthritis or rheumatism?,module=mhlth
R4,Health,paired,mx088rer/nx108rer,z_mx088rer,R4 How much does your arthritis or rheumatism currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx089rer/nx109rer,z_mx089rer,R4 Has a medical professional ever said you have bronchitis or emphysema?,module=mhlth
R4,Health,paired,mx090rer/nx110rer,z_mx090rer,R4 How much does your bronchitis or emphysema currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx091rer/nx111rer,z_mx091rer,R4 Has a medical professional ever said you have cancer?,module=mhlth
R4,Health,paired,mx092rer/nx112rer,z_mx092rer,R4 How much does your cancer currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx093rer/nx113rer,z_mx093rer,R4 Has a medical professional ever said you have chronic liver trouble?,module=mhlth
R4,Health,paired,mx094rer/nx114rer,z_mx094rer,R4 How much does your chronic liver trouble currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx095rer/nx115rer,z_mx095rer,R4 Has a medical professional ever said you have diabetes?,module=mhlth
R4,Health,paired,mx096rer/nx116rer,z_mx096rer,R4 How much does your diabetes currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx097rer/nx117rer,z_mx097rer,R4 Has a medical professional ever said you have serious back trouble?,module=mhlth
R4,Health,paired,mx098rer/nx118rer,z_mx098rer,R4 How much does your serious back trouble currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx099rer/nx119rer,z_mx099rer,R4 Has a medical professional ever said you have heart trouble?,module=mhlth
R4,Health,paired,mx100rer/nx120rer,z_mx100rer,R4 How much does your heart trouble currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx101rer/nx121rer,z_mx101rer,R4 Has a medical professional ever said you have high blood pressure?,module=mhlth
R4,Health,paired,mx102rer/nx122rer,z_mx102rer,R4 How much does your high blood pressure currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx103rer/nx123rer,z_mx103rer,R4 Has a medical professional ever said you have circulation problems?,module=mhlth
R4,Health,paired,mx104rer/nx124rer,z_mx104rer,R4 How much do your circulation problems currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx105rer/nx125rer,z_mx105rer,R4 Has a medical professional ever said you have kidney or bladder problems?,module=mhlth
R4,Health,paired,mx106rer/nx126rer,z_mx106rer,R4 How much does your kidney or bladder problems currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx107rer/nx127rer,z_mx107rer,R4 Has a medical professional ever said you have an ulcer?,module=mhlth
R4,Health,paired,mx108rer/nx128rer,z_mx108rer,R4 How much does your ulcer currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx109rer/nx129rer,z_mx109rer,R4 Has a medical professional ever said you have allergies?,module=mhlth
R4,Health,paired,mx110rer/nx130rer,z_mx110rer,R4 How much do your allergies currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx111rer/nx131rer,z_mx111rer,R4 Has a medical professional ever said you have multiple sclerosis?,module=mhlth
R4,Health,paired,mx112rer/nx132rer,z_mx112rer,R4 How much does your multiple sclerosis currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx113rer/nx133rer,z_mx113rer,R4 Has a medical professional ever said you have colitis?,module=mhlth
R4,Health,paired,mx114rer/nx134rer,z_mx114rer,R4 How much does your colitis currently interfere with what you like to do?,module=mhlth
R4,Health,paired,mx116rer/nx138rer,z_mx116rer,"R4 How much do your illnesses or conditions other than anemia, asthma,  arthritis or rheumatism, bronchitis or emphysema, cancer, chronic liver trouble, diabetes, serious back trouble, heart trouble, high blood pressure, circulation problems, kidney or bladder problems, ulcer, allergies, multiple sclerosis, colitis, or high cholesterol currently interfere with what you like to do?",module=mhlth
R4,Health,paired,mx117rec/nx139rer,z_mx117rec,R4 Total number of illnesses.,module=mhlth
R4,Health,paired,mx118rer/nx140rer,z_mx118rer,R4 Do you have a physical or mental condition that limits the amount or kind of work you can do for pay?,module=mhlth
R4,Health,paired,mx119rer/nx142rer,z_mx119rer,R4 Does your husband or wife have a physical or mental condition that limits the amount or kind of work he or she can do for pay?,module=mhlth
R4,Health,paired,mx120rer/nx141rer,z_mx120rer,R4 What is the specific physical or mental condition that limits the amount or kind of work you can do for pay?,module=mhlth
R4,Health,grad only,mx014rer,mx014rer,R4 For how many years did/have you smoke/d regularly?,module=mhlth
R4,Health,grad only,mx015rer,mx015rer,R4 About how many packs did/do you usually smoke per day then/now?,module=mhlth
